number,value,datetime_start,datetime_complete,duration,params_adaptive_pool,params_dense_units,params_initial_filters,params_kernel_size,params_lstm_hidden,params_n_blocks,user_attrs_epochs_por_split,user_attrs_mean_epoch,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.6145666550643927,2026-04-15 17:22:13.687772,2026-04-15 17:28:07.130576,0 days 00:05:53.442804,100,16,32,3,32,2,"[17, 19, 67, 16, 16]",27.0,0.5169187145557655,0.6145666550643927,COMPLETE
1,0.5858249216846502,2026-04-15 17:28:07.150636,2026-04-15 17:33:45.767757,0 days 00:05:38.617121,50,64,40,9,128,4,"[18, 17, 37, 30, 16]",23.6,0.5411153119092628,0.5858249216846502,COMPLETE
2,0.619977665622462,2026-04-15 17:33:45.780772,2026-04-15 17:42:33.794280,0 days 00:08:48.013508,350,48,16,5,128,3,"[52, 25, 48, 45, 46]",43.2,0.5895085066162571,0.619977665622462,COMPLETE
3,0.5974678036895231,2026-04-15 17:42:33.807389,2026-04-15 17:48:20.014155,0 days 00:05:46.206766,150,64,16,11,96,4,"[24, 18, 19, 35, 29]",25.0,0.5097353497164461,0.5974678036895231,COMPLETE
4,0.6015329504582898,2026-04-15 17:48:20.026225,2026-04-15 17:54:49.773976,0 days 00:06:29.747751,150,48,20,9,32,2,"[42, 22, 43, 42, 16]",33.0,0.5417769376181475,0.6015329504582898,COMPLETE
5,0.627069555632904,2026-04-15 17:54:49.785677,2026-04-15 18:02:02.752280,0 days 00:07:12.966603,500,32,32,5,32,3,"[21, 17, 35, 50, 60]",36.6,0.5410207939508507,0.627069555632904,COMPLETE
6,0.5508005569091542,2026-04-15 18:02:02.765841,2026-04-15 18:08:39.365343,0 days 00:06:36.599502,100,64,48,13,64,4,"[16, 31, 45, 29, 35]",31.2,0.5031190926275994,0.5508005569091542,COMPLETE
7,0.5961335421742662,2026-04-15 18:08:39.377327,2026-04-15 18:15:16.197212,0 days 00:06:36.819885,350,16,40,11,128,3,"[31, 18, 42, 24, 17]",26.4,0.5689981096408319,0.5961335421742662,COMPLETE
8,0.6104275437985845,2026-04-15 18:15:16.208920,2026-04-15 18:22:10.239375,0 days 00:06:54.030455,200,16,36,15,64,2,"[20, 59, 34, 42, 23]",35.6,0.5228733459357278,0.6104275437985845,COMPLETE
9,0.6119111845921801,2026-04-15 18:22:10.251974,2026-04-15 18:27:30.693732,0 days 00:05:20.441758,200,16,32,5,64,4,"[20, 18, 17, 32, 20]",21.4,0.5465028355387523,0.6119111845921801,COMPLETE
10,0.6106160807518274,2026-04-15 18:27:30.705380,2026-04-15 18:33:53.873651,0 days 00:06:23.168271,500,32,24,7,32,3,"[35, 16, 16, 54, 29]",30.0,0.5483931947069943,0.6106160807518274,COMPLETE
11,0.6071760064972734,2026-04-15 18:33:53.884852,2026-04-15 18:39:35.971913,0 days 00:05:42.087061,500,48,24,3,96,3,"[35, 17, 16, 31, 16]",23.0,0.5531190926275993,0.6071760064972734,COMPLETE
12,0.6242719573036315,2026-04-15 18:39:35.986030,2026-04-15 18:45:05.006703,0 days 00:05:29.020673,350,32,16,5,96,3,"[17, 17, 44, 16, 16]",22.0,0.555765595463138,0.6242719573036315,COMPLETE
13,0.6292058243415709,2026-04-15 18:45:05.018541,2026-04-15 18:51:26.108823,0 days 00:06:21.090282,400,32,28,5,96,3,"[68, 18, 25, 17, 16]",28.8,0.5716446124763704,0.6292058243415709,COMPLETE
14,0.6114920524422787,2026-04-15 18:51:26.120916,2026-04-15 18:57:08.948682,0 days 00:05:42.827766,450,32,28,7,64,3,"[16, 18, 29, 33, 22]",23.6,0.5546313799621929,0.6114920524422787,COMPLETE
15,0.6131453764937929,2026-04-15 18:57:08.962188,2026-04-15 19:03:22.963501,0 days 00:06:14.001313,400,32,28,7,96,3,"[17, 17, 16, 39, 49]",27.6,0.5455576559546313,0.6131453764937929,COMPLETE
16,0.6119387399930387,2026-04-15 19:03:22.975745,2026-04-15 19:09:36.393905,0 days 00:06:13.418160,450,32,36,3,32,2,"[20, 20, 36, 41, 29]",29.2,0.518336483931947,0.6119387399930387,COMPLETE
17,0.6004945469311984,2026-04-15 19:09:36.407448,2026-04-15 19:14:34.355568,0 days 00:04:57.948120,300,48,28,5,64,3,"[20, 16, 18, 16, 22]",18.4,0.5233459357277882,0.6004945469311984,COMPLETE
18,0.6120881192713772,2026-04-15 19:14:34.368216,2026-04-15 19:21:00.031049,0 days 00:06:25.662833,450,32,48,7,96,4,"[16, 19, 22, 44, 35]",27.2,0.5270321361058602,0.6120881192713772,COMPLETE
19,0.610075124724446,2026-04-15 19:21:00.044778,2026-04-15 19:28:09.928582,0 days 00:07:09.883804,400,48,40,9,128,2,"[37, 50, 32, 16, 17]",30.4,0.5391304347826087,0.610075124724446,COMPLETE
20,0.6150336465947325,2026-04-15 19:28:09.940479,2026-04-15 19:33:56.203108,0 days 00:05:46.262629,500,16,24,3,32,3,"[19, 16, 16, 53, 19]",24.6,0.5302457466918714,0.6150336465947325,COMPLETE
21,0.6187492748578721,2026-04-15 19:33:56.215928,2026-04-15 19:39:32.115826,0 days 00:05:35.899898,300,32,20,5,96,3,"[20, 16, 19, 43, 18]",23.2,0.5539697542533081,0.6187492748578721,COMPLETE
22,0.6177108713307808,2026-04-15 19:39:32.131428,2026-04-15 19:44:44.717722,0 days 00:05:12.586294,400,32,36,5,96,3,"[16, 20, 22, 23, 17]",19.6,0.539413988657845,0.6177108713307808,COMPLETE
23,0.605184766214178,2026-04-15 19:44:44.728965,2026-04-15 19:51:49.661035,0 days 00:07:04.932070,350,32,20,7,96,3,"[16, 17, 48, 41, 49]",34.2,0.5409262759924386,0.605184766214178,COMPLETE
24,0.613696484510964,2026-04-15 19:51:49.672912,2026-04-15 19:57:11.071091,0 days 00:05:21.398179,250,32,32,5,64,3,"[18, 18, 35, 20, 17]",21.6,0.5258979206049149,0.613696484510964,COMPLETE
25,0.6020173453996983,2026-04-15 19:57:11.083842,2026-04-15 20:03:15.112725,0 days 00:06:04.028883,450,48,44,3,96,3,"[39, 19, 27, 16, 24]",25.0,0.5515122873345936,0.6020173453996983,COMPLETE
26,0.6130177514792898,2026-04-15 20:03:15.127735,2026-04-15 20:10:29.101097,0 days 00:07:13.973362,400,32,28,7,128,2,"[46, 21, 36, 31, 17]",30.2,0.52882797731569,0.6130177514792898,COMPLETE
27,0.6029810592876204,2026-04-15 20:10:29.116854,2026-04-15 20:16:43.421301,0 days 00:06:14.304447,300,16,16,5,64,4,"[27, 16, 25, 49, 18]",27.0,0.544234404536862,0.6029810592876204,COMPLETE
28,0.5985714700081216,2026-04-15 20:16:43.436160,2026-04-15 20:22:45.756199,0 days 00:06:02.320039,350,32,24,9,96,3,"[17, 26, 17, 21, 45]",25.2,0.5551039697542534,0.5985714700081216,COMPLETE
29,0.6347952198630933,2026-04-15 20:22:45.774134,2026-04-15 20:29:23.565394,0 days 00:06:37.791260,500,16,36,3,32,2,"[17, 33, 51, 39, 16]",31.2,0.523156899810964,0.6347952198630933,COMPLETE
