number,value,datetime_start,datetime_complete,duration,params_adaptive_pool,params_dense_units,params_initial_filters,params_kernel_size,params_lstm_hidden,params_n_blocks,user_attrs_epochs_por_split,user_attrs_mean_epoch,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.602800498897784,2026-04-15 23:35:16.558421,2026-04-15 23:41:12.049444,0 days 00:05:55.491023,100,48,16,3,96,3,"[17, 28, 29, 21, 24]",23.8,0.5270321361058602,0.602800498897784,COMPLETE
1,0.6283342035038868,2026-04-15 23:41:12.069066,2026-04-15 23:47:49.452916,0 days 00:06:37.383850,50,64,44,9,32,4,"[39, 21, 30, 42, 16]",29.6,0.5411153119092628,0.6283342035038868,COMPLETE
2,0.6186245504118808,2026-04-15 23:47:49.467983,2026-04-15 23:54:43.924067,0 days 00:06:54.456084,350,48,32,15,32,3,"[17, 26, 53, 46, 16]",31.6,0.5549149338374292,0.6186245504118808,COMPLETE
3,0.6265111961944541,2026-04-15 23:54:43.936561,2026-04-16 00:01:18.688391,0 days 00:06:34.751830,100,16,36,3,128,2,"[16, 19, 40, 57, 17]",29.8,0.5299621928166353,0.6265111961944541,COMPLETE
4,0.6102825153730131,2026-04-16 00:01:18.701705,2026-04-16 00:08:23.551094,0 days 00:07:04.849389,400,64,40,13,128,4,"[18, 21, 27, 17, 49]",26.4,0.5441398865784499,0.6102825153730131,COMPLETE
5,0.614159125188537,2026-04-16 00:08:23.563137,2026-04-16 00:13:54.254821,0 days 00:05:30.691684,50,32,48,3,64,3,"[21, 29, 21, 23, 16]",22.0,0.5321361058601134,0.614159125188537,COMPLETE
6,0.6302529295741965,2026-04-16 00:13:54.266250,2026-04-16 00:21:10.860611,0 days 00:07:16.594361,500,16,28,7,128,3,"[16, 19, 23, 65, 16]",27.8,0.5667296786389413,0.6302529295741965,COMPLETE
7,0.5922047221255367,2026-04-16 00:21:10.873120,2026-04-16 00:27:00.778314,0 days 00:05:49.905194,200,16,20,15,32,2,"[22, 16, 17, 28, 34]",23.4,0.5471644612476372,0.5922047221255367,COMPLETE
8,0.6137225896275671,2026-04-16 00:27:00.790809,2026-04-16 00:34:35.773006,0 days 00:07:34.982197,400,64,44,7,32,4,"[46, 17, 39, 46, 28]",35.2,0.5462192816635161,0.6137225896275671,COMPLETE
9,0.6173903585102679,2026-04-16 00:34:35.784944,2026-04-16 00:41:12.941353,0 days 00:06:37.156409,450,32,24,3,128,3,"[26, 17, 36, 26, 17]",24.4,0.5561436672967863,0.6173903585102679,COMPLETE
10,0.606427659821325,2026-04-16 00:41:12.952057,2026-04-16 00:46:53.527713,0 days 00:05:40.575656,500,16,28,7,96,2,"[21, 32, 21, 18, 17]",21.8,0.5589792060491494,0.606427659821325,COMPLETE
11,0.594973314769695,2026-04-16 00:46:53.539712,2026-04-16 00:53:32.789441,0 days 00:06:39.249729,200,48,32,9,64,4,"[16, 19, 36, 33, 31]",27.0,0.5178638941398865,0.594973314769695,COMPLETE
12,0.5818076342963221,2026-04-16 00:53:32.801167,2026-04-16 00:59:07.882440,0 days 00:05:35.081273,250,32,48,11,96,4,"[16, 16, 18, 16, 32]",19.6,0.5021739130434784,0.5818076342963221,COMPLETE
13,0.609421046525119,2026-04-16 00:59:07.895104,2026-04-16 01:05:54.475319,0 days 00:06:46.580215,300,64,36,7,64,3,"[17, 22, 19, 34, 48]",28.0,0.5634688090737241,0.609421046525119,COMPLETE
14,0.6110352129017287,2026-04-16 01:05:54.487232,2026-04-16 01:12:48.394767,0 days 00:06:53.907535,500,32,24,9,64,4,"[17, 22, 34, 40, 27]",28.0,0.5281663516068054,0.6110352129017287,COMPLETE
15,0.6118618749274858,2026-04-16 01:12:48.408062,2026-04-16 01:19:26.358922,0 days 00:06:37.950860,150,48,40,9,96,3,"[19, 16, 41, 48, 20]",28.8,0.5559546313799621,0.6118618749274858,COMPLETE
16,0.6033907645898596,2026-04-16 01:19:26.374712,2026-04-16 01:28:40.798561,0 days 00:09:14.423849,300,16,28,5,128,3,"[43, 17, 60, 34, 51]",41.0,0.5511342155009451,0.6033907645898596,COMPLETE
17,0.5884397841977028,2026-04-16 01:28:40.809861,2026-04-16 01:35:25.873470,0 days 00:06:45.063609,350,64,40,11,32,4,"[20, 16, 39, 50, 19]",28.8,0.5155954631379963,0.5884397841977028,COMPLETE
18,0.6086117879104305,2026-04-16 01:35:25.885467,2026-04-16 01:41:57.261912,0 days 00:06:31.376445,50,32,28,11,64,2,"[34, 17, 48, 32, 22]",30.6,0.5443289224952741,0.6086117879104305,COMPLETE
19,0.6222676644622346,2026-04-16 01:41:57.275396,2026-04-16 01:48:55.957109,0 days 00:06:58.681713,200,48,44,5,96,3,"[26, 25, 43, 33, 16]",28.6,0.546313799621928,0.6222676644622346,COMPLETE
20,0.5934432648799165,2026-04-16 01:48:55.970440,2026-04-16 01:55:10.648644,0 days 00:06:14.678204,450,64,16,5,128,4,"[18, 16, 17, 27, 19]",19.4,0.533648393194707,0.5934432648799165,COMPLETE
21,0.6212524654832347,2026-04-16 01:55:10.660337,2026-04-16 02:04:10.672237,0 days 00:09:00.011900,100,16,36,7,128,2,"[46, 35, 95, 42, 20]",47.6,0.5124763705103971,0.6212524654832347,COMPLETE
22,0.5964294001624318,2026-04-16 02:04:10.684085,2026-04-16 02:09:37.584747,0 days 00:05:26.900662,100,16,44,5,128,2,"[16, 17, 22, 17, 19]",18.2,0.49914933837429115,0.5964294001624318,COMPLETE
23,0.6166652163824109,2026-04-16 02:09:37.597092,2026-04-16 02:16:33.566328,0 days 00:06:55.969236,50,16,36,13,128,2,"[30, 16, 72, 25, 18]",32.2,0.5426275992438563,0.6166652163824109,COMPLETE
24,0.6167855899756353,2026-04-16 02:16:33.577583,2026-04-16 02:23:22.861284,0 days 00:06:49.283701,150,16,32,7,96,2,"[65, 25, 23, 28, 16]",31.4,0.5400756143667297,0.6167855899756353,COMPLETE
25,0.6198703445875392,2026-04-16 02:23:22.873834,2026-04-16 02:30:08.550530,0 days 00:06:45.676696,150,32,24,9,128,3,"[28, 20, 43, 36, 21]",29.6,0.5582230623818527,0.6198703445875392,COMPLETE
26,0.600999245852187,2026-04-16 02:30:08.565378,2026-04-16 02:35:55.134539,0 days 00:05:46.569161,100,16,36,3,96,2,"[18, 24, 24, 30, 16]",22.4,0.5142722117202269,0.600999245852187,COMPLETE
27,0.5931662605870751,2026-04-16 02:35:55.146198,2026-04-16 02:43:01.513478,0 days 00:07:06.367280,250,32,40,11,32,4,"[20, 16, 42, 39, 41]",31.6,0.49612476370510394,0.5931662605870751,COMPLETE
28,0.6047931894651353,2026-04-16 02:43:01.526697,2026-04-16 02:49:07.763390,0 days 00:06:06.236693,50,16,48,5,128,3,"[17, 20, 48, 16, 20]",24.2,0.5068998109640831,0.6047931894651353,COMPLETE
29,0.6221168348996403,2026-04-16 02:49:07.775287,2026-04-16 02:55:55.092105,0 days 00:06:47.316818,100,48,28,3,96,3,"[24, 29, 52, 29, 18]",30.4,0.5373345935727789,0.6221168348996403,COMPLETE
