number,value,datetime_start,datetime_complete,duration,params_dense_units,params_initial_filters,params_kernel_size,params_lstm_hidden,params_n_blocks,user_attrs_epochs_por_split,user_attrs_mean_epoch,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.6143186564566655,2026-04-16 10:19:30.471521,2026-04-16 10:26:25.667014,0 days 00:06:55.195493,64,40,3,64,2,"[26, 30, 46, 21, 20]",28.6,0.5021739130434782,0.6143186564566655,COMPLETE
1,0.628844703561898,2026-04-16 10:26:25.688211,2026-04-16 10:37:33.319709,0 days 00:11:07.631498,32,24,5,32,3,"[38, 26, 44, 37, 24]",33.8,0.5204158790170134,0.628844703561898,COMPLETE
2,0.583836581970066,2026-04-16 10:37:33.333565,2026-04-16 10:49:01.076156,0 days 00:11:27.742591,64,40,13,96,4,"[16, 24, 16, 16, 94]",33.2,0.5311909262759924,0.583836581970066,COMPLETE
3,0.619161155586495,2026-04-16 10:49:01.089820,2026-04-16 11:06:43.728324,0 days 00:17:42.638504,16,36,3,32,2,"[33, 33, 79, 87, 57]",57.8,0.5049149338374292,0.619161155586495,COMPLETE
4,0.6195193757976564,2026-04-16 11:06:43.745450,2026-04-16 11:18:14.770450,0 days 00:11:31.025000,64,48,5,128,3,"[16, 16, 45, 34, 16]",25.4,0.5362948960302457,0.6195193757976564,COMPLETE
5,0.6149176238542753,2026-04-16 11:18:14.791245,2026-04-16 11:32:42.529221,0 days 00:14:27.737976,48,16,7,32,2,"[51, 37, 61, 32, 61]",48.4,0.5196597353497164,0.6149176238542753,COMPLETE
6,0.6119793479521987,2026-04-16 11:32:42.550680,2026-04-16 11:41:48.651407,0 days 00:09:06.100727,32,28,15,96,2,"[19, 21, 45, 16, 19]",24.0,0.5202268431001891,0.6119793479521987,COMPLETE
7,0.6090744285880032,2026-04-16 11:41:48.680568,2026-04-16 11:52:21.652729,0 days 00:10:32.972161,32,24,15,128,2,"[25, 21, 36, 31, 17]",26.0,0.5158790170132325,0.6090744285880032,COMPLETE
8,0.6151032602390069,2026-04-16 11:52:21.669259,2026-04-16 12:01:12.878991,0 days 00:08:51.209732,64,36,9,32,3,"[16, 16, 25, 40, 16]",22.6,0.5481096408317581,0.6151032602390069,COMPLETE
9,0.6299628727230536,2026-04-16 12:01:12.898449,2026-04-16 12:11:48.709154,0 days 00:10:35.810705,32,36,7,128,2,"[17, 28, 74, 80, 25]",44.8,0.5322306238185255,0.6299628727230536,COMPLETE
10,0.6011790810998956,2026-04-16 12:11:48.725063,2026-04-16 12:21:32.243688,0 days 00:09:43.518625,16,44,11,128,4,"[49, 16, 100, 31, 17]",42.6,0.530812854442344,0.6011790810998956,COMPLETE
11,0.6232944657152801,2026-04-16 12:21:32.256109,2026-04-16 12:29:26.634301,0 days 00:07:54.378192,32,20,7,64,3,"[19, 29, 41, 17, 21]",25.4,0.5554820415879018,0.6232944657152801,COMPLETE
12,0.6175817960320222,2026-04-16 12:29:26.652187,2026-04-16 12:37:38.439361,0 days 00:08:11.787174,48,28,7,64,3,"[17, 18, 37, 42, 17]",26.2,0.5265595463137996,0.6175817960320222,COMPLETE
13,0.6116660865529643,2026-04-16 12:37:38.452662,2026-04-16 12:46:31.860060,0 days 00:08:53.407398,32,32,5,96,3,"[16, 16, 56, 16, 16]",24.0,0.524858223062382,0.6116660865529643,COMPLETE
