number,value,datetime_start,datetime_complete,duration,params_dense_units,params_initial_filters,params_kernel_size,params_lstm_hidden,params_n_blocks,user_attrs_epochs_por_split,user_attrs_mean_epoch,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.604260935143288,2026-04-16 10:20:26.302291,2026-04-16 10:31:57.592142,0 days 00:11:31.289851,48,44,5,96,2,"[45, 44, 65, 22, 66]",48.4,0.5431947069943289,0.604260935143288,COMPLETE
1,0.5833710407239818,2026-04-16 10:31:57.615296,2026-04-16 10:41:45.689484,0 days 00:09:48.074188,64,16,15,96,2,"[16, 41, 19, 17, 30]",24.6,0.5379017013232514,0.5833710407239818,COMPLETE
2,0.5866109757512473,2026-04-16 10:41:45.725359,2026-04-16 10:50:38.578337,0 days 00:08:52.852978,64,16,13,128,4,"[16, 17, 26, 25, 18]",20.4,0.5656899810964082,0.5866109757512473,COMPLETE
3,0.5924541710175195,2026-04-16 10:50:38.596880,2026-04-16 11:00:11.758931,0 days 00:09:33.162051,16,48,15,32,4,"[19, 20, 17, 36, 21]",22.6,0.5313799621928166,0.5924541710175195,COMPLETE
4,0.6090889314305603,2026-04-16 11:00:11.773025,2026-04-16 11:16:23.836986,0 days 00:16:12.063961,16,44,5,64,2,"[99, 46, 16, 20, 53]",46.8,0.5299621928166351,0.6090889314305603,COMPLETE
5,0.6056387051862165,2026-04-16 11:16:23.849807,2026-04-16 11:33:38.475290,0 days 00:17:14.625483,48,32,3,64,2,"[73, 61, 100, 40, 31]",61.0,0.5562381852551985,0.6056387051862165,COMPLETE
6,0.61327155122404,2026-04-16 11:33:38.493226,2026-04-16 11:46:25.164892,0 days 00:12:46.671666,16,40,3,96,3,"[20, 37, 85, 16, 32]",38.0,0.5375236294896031,0.61327155122404,COMPLETE
7,0.6096820976911475,2026-04-16 11:46:25.183758,2026-04-16 12:03:51.337171,0 days 00:17:26.153413,48,20,3,32,3,"[19, 50, 94, 16, 67]",49.2,0.5713610586011342,0.6096820976911475,COMPLETE
8,0.6137341919016127,2026-04-16 12:03:51.349055,2026-04-16 12:11:53.167322,0 days 00:08:01.818267,16,28,15,64,3,"[32, 42, 50, 17, 31]",34.4,0.5440453686200379,0.6137341919016127,COMPLETE
9,0.6136152685926441,2026-04-16 12:11:53.181221,2026-04-16 12:18:58.952010,0 days 00:07:05.770789,32,32,9,128,4,"[16, 16, 39, 31, 26]",25.6,0.5499054820415881,0.6136152685926441,COMPLETE
