number,value,datetime_start,datetime_complete,duration,params_adaptive_pool,params_bs,params_dense_units,params_dropout_rate,params_initial_filters,params_kernel_size,params_lr,params_lstm_hidden,params_max_pool,params_n_blocks,params_padding,params_pool_size,params_stride,user_attrs_mean_test_auc,user_attrs_mean_val_auc,state
0,0.5551202914041662,2026-04-08 19:42:58.145752,2026-04-08 23:53:32.197633,0 days 04:10:34.051881,50,16,1600,0.5,32,39,0.0006453642295103901,128,0,4,3,2,1,0.5114412785807719,0.5551202914041662,COMPLETE
1,0.524367078245932,2026-04-08 23:53:32.197890,2026-04-09 01:16:57.723825,0 days 01:23:25.525935,400,16,960,0.35000000000000003,20,15,1.5226595508539628e-06,256,0,2,1,1,1,0.4751331762651496,0.524367078245932,COMPLETE
2,0.49526066394305224,2026-04-09 01:16:57.724032,2026-04-09 05:46:58.301086,0 days 04:30:00.577054,500,8,1024,0.2,32,39,5.490889866205416e-05,128,0,4,1,2,1,0.5553425971490412,0.49526066394305224,COMPLETE
3,0.6001607185444415,2026-04-09 05:46:58.301430,2026-04-09 06:34:11.468766,0 days 00:47:13.167336,50,64,576,0.6,16,39,9.779066485481528e-06,128,0,3,4,1,2,0.5796284498812765,0.6001607185444415,COMPLETE
4,0.5581142613338763,2026-04-09 06:34:11.468996,2026-04-09 07:51:36.206239,0 days 01:17:24.737243,250,64,1152,0.35000000000000003,28,21,2.1772556079843784e-06,64,1,3,3,3,1,0.5551478547518891,0.5581142613338763,COMPLETE
5,0.5724178985792228,2026-04-09 07:51:36.206618,2026-04-09 09:12:44.975170,0 days 01:21:08.768552,150,32,1856,0.35000000000000003,32,45,1.724323006243698e-05,64,1,2,2,3,1,0.5472362584470843,0.5724178985792228,COMPLETE
6,0.5539159434968397,2026-04-09 09:12:44.975441,2026-04-09 10:51:07.775338,0 days 01:38:22.799897,400,8,256,0.35000000000000003,20,45,0.0002708764263508828,128,0,3,2,3,1,0.5859218082427822,0.5539159434968397,COMPLETE
7,0.4660446028352821,2026-04-09 10:51:07.775566,2026-04-09 11:10:34.170248,0 days 00:19:26.394682,200,16,384,0.6,20,9,1.8428338173918058e-05,64,1,3,4,3,2,0.5405478982823723,0.4660446028352821,COMPLETE
8,0.5679390020976263,2026-04-09 11:10:34.171053,2026-04-09 11:38:52.381025,0 days 00:28:18.209972,100,64,512,0.35000000000000003,20,39,1.472594008461454e-06,64,1,3,4,3,2,0.568514857596494,0.5679390020976263,COMPLETE
9,0.5603007639682153,2026-04-09 11:38:52.381357,2026-04-09 13:51:27.689242,0 days 02:12:35.307885,50,16,768,0.4,32,21,0.0007310558075185738,128,0,2,4,1,1,0.5793417877383642,0.5603007639682153,COMPLETE
